ts,block_type,n_blocks
2018/11/29 6:43:50 AM,blocks_recv,0
2018/11/29 6:43:50 AM,blocks_sent,29
2018/11/29 6:43:50 AM,blocks_dup,0
2018/11/29 6:45:53 AM,blocks_recv,0
2018/11/29 6:45:53 AM,blocks_sent,30
2018/11/29 6:45:53 AM,blocks_dup,0
2018/11/29 6:47:57 AM,blocks_recv,0
2018/11/29 6:47:57 AM,blocks_sent,30
2018/11/29 6:47:57 AM,blocks_dup,0
2018/11/29 6:50:00 AM,blocks_recv,0
2018/11/29 6:50:00 AM,blocks_sent,30
2018/11/29 6:50:00 AM,blocks_dup,0
2018/11/29 6:52:03 AM,blocks_recv,0
2018/11/29 6:52:03 AM,blocks_sent,30
2018/11/29 6:52:03 AM,blocks_dup,0
2018/11/29 6:54:06 AM,blocks_recv,0
2018/11/29 6:54:06 AM,blocks_sent,30
2018/11/29 6:54:06 AM,blocks_dup,0
2018/11/29 6:56:10 AM,blocks_recv,0
2018/11/29 6:56:10 AM,blocks_sent,30
2018/11/29 6:56:10 AM,blocks_dup,0
2018/11/29 6:58:12 AM,blocks_recv,0
2018/11/29 6:58:12 AM,blocks_sent,30
2018/11/29 6:58:12 AM,blocks_dup,0
2018/11/29 7:00:15 AM,blocks_recv,0
2018/11/29 7:00:15 AM,blocks_sent,30
2018/11/29 7:00:15 AM,blocks_dup,0
2018/11/29 7:02:18 AM,blocks_recv,0
